text,label
恩，,12
你能不能多卖一点，,3
我们血库的量不多了，,0
行，,12
行吗？,3
是。,11
我不去求，,13
你放心。,8
来人！,2
那帝兵呢？,3
你想拍摄什么？,3
年初，,0
两家父亲偶然碰面，,0
我爸提起，,0
[ch-0]也欣然同意。,0
哈，,1
[ch-0]，,1
您醒啦，,0
再睡一会吧。,5
只有在[ch-1]先生身上，,14
我见到过这种气势，,0
因为[ch-1]先生是军人出身，,14
可以问问你是怎么做到的？,3
他肯定明白自己的心意。,10
谢谢，,0
我会考虑，,8
我知道，,0
再见。,1
可是要是真的，,14
这种包治瘫痪的药他为啥不拿去申请专利？,4
给医院用，,0
专门跑来摆地摊？,3
死不了。,13
好吧，,12
你解释。,7
是，,11
保证完成任务！,8
俺也一样！,2
你何时有空闲？,3
行，,12
你要学[ch-0]姐当然支持你。,0
不过，,14
这么多菜你想做哪样？,3
我现在把菜谱写下来，,9
让人拍了给你发过去。,7
陛下，,1
臣有一人选！,0
大叔，,1
你不会笑诶，,13
我发现！,0
你妈打电话给你，,0
你赶紧去接一下。,7
可惜什么，,3
怎么，,3
没被选上，,13
这很正常。,0
我还没想好。,13
我不想拍的太简单，,13
也不想应付了事。,13
可是拍电影能力又不够，,14
我想拍一些有意义的东西。,9
假如陪自己去逛庙会的人，,14
是大叔而不是[ch-1]，,0
该多好呀？,2
你能从滚烫的汤水里把这些食物拿出来吗？,3
铁砂掌！,2
师傅那我到时候自己去解释。,1
哎，,2
是。,11
哈哈，,0
额，,1
[ch-0]，,1
您误会了，,0
我不是这个意思，,13
我就说嘛？,3
看你的样子，,0
似乎还没有放弃？,3
随你吧，,9
反正我不打算住家里，,14
我决定住校。,15
木瓜啊,2
那不行，,13
区区一场比赛，,0
怎么就能用全力呢？,4
不加。,13
你想象一下，,7
应该能够把自己身体之中的那些异常能力提取出来。,10
不行。,13
这种事，,0
一刻都不能等。,13
我没事。,0
来，,7
大黄试试有没有毒？,3
哦对了，,1
[ch-0]少爷家那位[ch-1]家大哥，,0
您要见一下吗？,3
大连柳树地区一个礼拜停三次水，,0
理由不断翻新，,0
层出不穷,0
我明天还要加班么？,3
反正我已经没把你当姐姐了。,13
剑界,0
你啊，,1
差一点把大嫂都瞒过去了！,2
这个题目我可以去完成,0
去哪儿？,3
如果说其他人转校可能是为了[ch-1]而来，,14
但是这两人绝对不是。,15
[ch-0]小姐，,1
你对[ch-1]了解得可没我了解得多。,13
别傻乎乎的觉得他是真爱你。,7
如果真爱你，,14
怎么可能莫名其妙的消失这么多年？,4
而且，,14
又怎么可能会答应我结婚的这个忙？,4
这是公平的对决啊！,2
行了，,0
都已经断绝关系了就别说这些烦心话了，,13
程家人不是东西，,13
我们囡囡才不稀得，,13
以后我们家疼着囡囡就是，,0
不需要旁的人来疼。,13
闺女，,1
籽儿呢。,0
我们班子连日奔波，,0
有些劳累，,0
这位壮汉若是有什么事，,14
还请告知，,15
也好让我们早点休息。,15
是，,0
一次扣篮，,0
输掉的人穿着[ch-0]在维多利亚的秘密内衣展上的那套同款内衣，,0
在演播室完成一次扣篮。,0
但是呢，,15
光是这种内容还是有点少，,14
一些小的方面就没太照顾到。,13
那个爸爸，,0
我这一次的第六世，,0
有点与众不同我刚刚出生时，,0
就极为不凡，,0
拥有无限之力，,0
能感知世界波动！,2
他的神魂倒是不错，,0
可以炼出一条上佳的剑灵！,2
所以，,14
你来宁城就是为了找她？,3
急什么呀？,3
前天她可是亲口说的不会画图，,13
而且就她的样子肯定也不会画图。,13
来这里估计是为了找工作，,10
所以不知道从哪儿找人画的设计图糊弄人的。,15
赞美暗日，,0
拥抱暗日。,0
世间一切都将朽化，,0
唯有暗日永存。,15
[ch-0]，,1
这看来是一场因情而起的绑架案。,10
呵，,1
擦汗！,2
我知道你们在看着我，,0
所以，,14
多余的问话就不必了！,13
那可能我用心的时候你没看到过。,10
不好意思，,13
您还没买单。,13
我儿确实成长了不少，,0
你[ch-3]和那位[ch-0]叔、大郎和你[ch-4]，,0
还有[ch-2]家姐姐和[ch-5]，,0
都是不同的人，,0
我儿却总能找到一些话题让他们都参与进来，,0
不让任何一人觉得难受。,13
不，,13
我只是发现了现场还有一个高人，,14
他才是真正的强者！,2
不是，,13
本来我也不用来的，,13
是[ch-1]让我来的。,0
你们家倒好，,0
嫡女庶女区别却是如此之大，,0
竟是让几个庶女穿的都如此缺少体面，,14
连我这个外人都要看不过去。,13
看来此人趁你与那童子大战之后灵力有所消耗，,0
捡了个便宜，,0
还将你伤了。,0
嫂子客气了。,0
行不更名，,13
坐不改姓，,13
[ch-0]。,0
不错，,12
他们确实是你灵族前辈，,0
也是因为那一战，,14
你们灵族才开始走向衰败！,2
我辞职了。,0
咳！,2
[ch-2]，,1
是您打电话给他们的吗？,3
现在，,0
[ch-2]的母亲不是回到国企下属的兵工厂担任高层工作了吗？,4
你可以让你父母也一起过去。,9
你父亲是著名企业家，,0
可以担任管理职务，,0
你母亲也是高级知识分子，,0
跟在[ch-2]母亲[ch-0]身边当助理也不是不行。,13
而你这边，,14
不也在准备弄兵工厂和,4
侥幸,0
呵呵，,1
没错，,0
我是要让京城各族都知道，,0
我[ch-0]家有后，,0
所以我亲自到宁城来，,15
但我不希望在别人的眼里，,15
我的孙子只是一个靠着家族权势而走进他们视线的人！,2
还算监考的有点良心，,0
给了我们喘口气的机会。,0
星星！,1
钠钠，,1
你做什么我都会支持你的。,0
皇上既然留中不发，,14
肯定有他的想法。,15
砰！,0
砰！,0
现在病床紧张，,0
暂时睡这吧。,9
为了[ch-0]的双腿，,14
我就算掏尽家产也在所不惜，,13
何况面子呢。,14
少爷你让我们看什么？,3
强行打开别的世界的大门，,0
将这方天地的邪能引导出去。,0
却不知那[ch-0]会使何计策？,4
嗯，,12
你文静的很。,0
这是[ch-1]的功劳。,0
我也是成年男性了，,0
有喜欢的女人很奇怪吗。,4
我觉得高家庄园就不错！,0
嗯.,12
我都听见了，,0
你小心点，,5
打不过就跑，,0
再想办法。,7
[ch-0]？,3
你出去，,7
我来做。,9
帮我送到膳厅，,6
我去门口看看。,9
对了，,0
飞行员。,0
来了，,0
肯定是炎角的人来了！,10
是。,11
怎么了？,3
是！,11
睡不着吗？,3
你叫什么名字？,3
就算这样又如何，,14
天子犯法与庶民同罪，,0
不管他是谁，,14
我都要调查清楚。,8
不！,13
不光是门！,13
窗户也没有！,13
嘘！,0
这可不是我们该管的事情啊，,13
我们只需要治病救人，,14
知道吧。,0
没有，,13
就是妹妹们一起玩。,0
砰！,0
[ch-1]大夫还年轻，,0
和我一样还在学呢，,0
但他家里有一本前人留下的伤寒集，,15
于伤寒一类的病症上很有见解，,0
[ch-2]大夫呢，,0
哼哼哼，,0
额，,2
[ch-1]爷，,1
你这是看啥呢？,3
都别搁里面缩着了，,7
有什么事啊，,3
不能出来当面说？,3
这枚碧水龙睛丹，,0
是假的。,0
莫不是[ch-1]集团那个美女总裁[ch-2]被你追到手啦？,4
如果荒古文明的人来了，,14
特别是[ch-0]文明副主来了，,14
你们要通知我一声。,15
渴了。,0
但我们基数多，,15
有无限可能。,0
我怎么能这个样子呢。,4
让他进来吧！,7
对了[ch-1]，,12
我记得集团的后勤部缺个保洁员的工作，,0
你现在带他去集团办理一下入职手续，,7
刚好那里有[ch-0]宿舍，,0
直接住宿舍吧！,9
现在整个后宫的人都恨不得她死。,0
依照德妃的妒忌心，,14
还有淑妃的手段，,0
她那边绝对不会好过。,13
[ch-1]，,1
你是哪儿的人啊？,3
那又是何物？,3
我不磕。,13
魔甲龟数量稀少，,0
运输麻烦，,0
很少会出现在城邦赛会，,13
但每一次出现，,15
面对它的队伍必败无疑。,0
一会儿的魔兽战，,0
要在十分钟内战胜魔兽，,0
否则就算失败。,13
魔甲龟本身力大无穷，,0
防御极强，,0
又会水系魔法，,0
唯一的缺点是在陆地上行动缓慢，,0
可一旦缩进龟壳，,14
黑铁,0
有车吗？,3
肯定是他下的暗手。,10
[ch-0]妹妹呀，,1
记住，,7
像我们这种身份的可不是谁都能结交的，,13
你贵为庄少爷的人，,0
就该清楚自己的身份，,15
一些没出息的同学，,0
断了联系对自己有好处，,0
免得受牵连！,2
你家那位三流庄家的少爷呢？,3
躲猫猫好玩吗？,3
是！,11
若是这周天洪荒星辰，,14
每一颗星辰上的星君都是我人族的英雄好汉，,0
让我人族巫神取代那些星神掌控周天，,0
我人族当能成为盘古世界的主人神挡杀神，,15
鬼挡杀鬼，,0
就算是圣,15
啊，,2
[ch-0]先生说，,0
把这个[ch-1]放了，,0
立刻马上。,0
那叫[ch-0]，,0
[ch-0]殿下吧。,9
我找总裁，,0
好像跟你没什么关系啊，,13
另外，,14
我也不是你们集团的人，,13
不管是诸于什么方面，,13
你都没有资格管我！,13
听说是随机抽签，,0
结果好苗子都抽到后面去了。,0
绅士不应该主动上去结盟吗。,4
看样子有点严重，,0
不过他脑子里没淤血，,14
大问题不会有，,13
其实现在这样算好的，,14
你看电梯里另一个病人到现在都没醒，,0
听说有可能成为植物人。,0
老爷，,1
六夫人。,1
是，,11
[ch-1]！,1
灵谷开了，,0
你们听到消息了吗？,3
这也是很多小手机厂商以小博大、蹭热度的惯用手法。,0
这个我们都可以作证，,0
你小时候跟他一样，,0
只不过现在喂的奶，,14
你吃的是鸡蛋羹。,0
我们弹古筝去吧。,9
这世上有很多我不明白的事情,0
也是。,0
你们没试过？,3
怎么知道是假药呢？,3
那你要赌什么？,3
明天去[ch-0]上班吧。,9
一头龙。,0
我喜欢珠宝，,0
也喜欢鉴定工作。,0
[ch-0]老爷子，,1
我可以帮你！,0
好！,12
不用为我们做无畏的牺牲，,7
你们快走。,7
这球应该传给空位,0
是。,11
行。,12
老二、嫣然，,1
你们进来！,7
现在，,0
你可以说出这首曲子的主人了吗？,3
呃，,12
那你谢也谢了我就先走咯,9
如果我们真死了，,14
不要为我们报仇。,13
你们要保证我两个女儿和家人，,5
一辈子平平安安。,0
诶谁啊谁啊？,4
嗯嘿嘿，,12
王爷，,1
您就放一百个心吧！,8
好霸道啊，,2
不不愧是华美集团的[ch-0]董事长，,13
和传闻中的一一模一样。,0
多谢指挥使大人指点，,0
小的也是知道该如何操弄的，,0
明天就派人去附近州县散播消息，,0
就说少华山寨不再劫掠了，,14
只收少许买路钱，,15
只要有几人走通了路，,14
便好说了。,15
匈奴那边，,0
最近[ch-0]杀父而自立，,0
其立足不稳，,0
最近一两年内我大秦必是无忧。,0
唉是。,2
这三种情况，,0
第一种当然最好。,0
但可惜，,15
国家越大，,0
架构越复杂，,0
药到病除的难度就越高。,0
去东林市。,0
大家都在看着你俩，,0
注意点影响。,5
[ch-1]打了谁？,3
呵呵呵。,0
就此别过，,9
老太公保重！,1
这样，,0
是不是很干脆？,3
你不会连自己名字都忘了吧。,4
我闲得无聊，,0
一直保护你？,4
好，,12
那我们进去吧。,9
若是不小心分散了，,14
我们就在这外边儿等。,15
嗯，,12
有问题再联系。,9
怎么样，,3
觉得姐画的如何？,3
[ch-1]先生，,1
到了，,0
就是这里！,2
她被谁带走了？,3
我们会，,0
你现在要去完成任务才能找工具。,0
醒了啊！,2
[ch-0]家这一对龙凤胎都不错，,0
可惜我们家里没有适龄的年青人。,14
像这种人家的孩子，,14
留在幼儿园干嘛呢？,3
只是听说[ch-1]宁肯去当三司使，,14
也不要当枢密副使这是为什么？,13
还不是不能接受屈居于他之下？,4
诸位不久前应该得到过自天阙山那边传来的消息吧？,3
百里青锋可是以一人之力解决了血神殿的威胁，,0
而且他还斩杀了一尊传奇圣灵！,2
我确实不知道。,0
人类的情感我不明白，,13
也不理解。,13
是，,11
老太爷，,1
那少爷今晚搞这么一出，,0
到底是为了什么呢。,3
等庆祝日过去好了，,9
到时候[ch-0]没有给你们道歉，,9
你们再告诉老师也不迟。,13
太子应该知道，,10
人若死了，,14
就什么都做不了了！,15
自古君臣之义深厚，,0
必上下一德相成，,14
始能上感天心，,15
召致和气，,0
不在徒饬虚文，,13
务空名以从事。,7
今当此亢旱之际，,14
我君臣应上下一心，,0
夙夜靡宁，,0
我还在开会呢！,2
这个巷子里面有一只非常凶的流浪狗，,0
你还是不要走这里好。,5
亏我还很期待地在这里遇到高手，,0
没想到啊呵呵，,13
我看宁城拳武发源地这六个字，,0
有名无实啊！,2
[ch-2]，,1
我发誓，,0
我会一辈子对你好,8
今天这次见面就此作罢，,0
你顺便帮我转告[ch-0]，,7
这笔帐我记下了。,0
那我以后天天给你们做晚饭，,9
好不好？,3
把手伸出来，,7
我给你把把脉。,9
大叔，,1
我们出来谈一谈吧！,9
想不想做编剧？,3
哼，,2
[ch-0]董事长，,1
我提醒你，,0
我老公是[ch-1]家的。,0
谢谢老大,0
多吃点，,7
我今天没怎么动过，,13
不饿！,13
[ch-0]还记得那一天，,0
他抓着你来到我们村子，,0
用铁链锁着你，,0
抢了[ch-0]的屋子，,0
你很倔强，,0
对他又踢又咬，,0
他脑子不好使，,13
不懂得哄女孩，,13
只会打，,15
打的你浑身都是伤，,0
但你一颗眼泪也没掉。,15
这位小哥，,1
你既然来此，,14
便是我等的缘分，,15
何故如此抗拒？,3
刚刚的声响很微弱，,0
不过在我查看的时候，,14
那个人就已经不见了。,15
我明白了，,11
我相信你说的，,0
不过不管你体内到底是谁，,14
先把身体养好最重要，,15
对不对？,3
先让你儿子回病房吧！,9
这个消息呢，,0
还是等他醒了以后再说吧。,9
我我看你从[ch-2]集团里面出来，,0
就跟到这，,0
见你走到龙翔拳馆，,0
我就去局子里找人来救你啊，,0
大叔，,1
龙翔拳馆的[ch-0]没对你怎么样，,3
你没受伤吧！,4
害，,2
别提了，,13
这两天啊我被[ch-1]那个上门女婿的弟弟弄得都烦死了，,0
哪有功夫去追[ch-1]啊！,4
你该不会是买了假货吧！,4
你安心坐，,5
你有资格。,0
你们不知道，,13
今年我抓捕的最奇葩的一个间谍，,0
为了混入我国，,0
居然利用禁术把自己身体缩小，,2
藏匿于胶囊中高价聘用一位留学生将胶囊藏匿在肛中入境。,0
不知道。,13
晚上切蛋糕的时候，,0
你分一块给你弟弟，,7
那是我专门从国外请来的顶级蛋糕大师，,0
国外很多有钱人想吃都没地方买呢,13
那个打听[ch-1]病房的人离开了吗？,3
明日我亲自率领一万骑兵前去突袭汉军运粮队伍，,9
便劳烦你驻守城池，,15
以防汉军来攻。,0
意料之中的事，,0
不过那个番僧也的确有几分真本事，,14
据[ch-0]说，,14
只有将天竺那边的瑜伽之术练到极为高深的境界，,14
才能达到活埋不死的程度，,15
这点与道家的辟谷有点像。,0
这样吧，,0
这三把香，,0
你们各拿一把，,7
第三把一块儿抓住，,0
拿着香回到村子，,0
跟你们的亲人道个别，,7
至少留点遗言什么的。,7
话说完了，,0
把香折断，,7
你们自然就去了。,9
你确定这是[ch-0]的指示。,0
你放心，,8
我不会影响你修炼的。,13
而且你如果有不懂的地方，,14
我还可以和你探讨一下。,15
谢谢你大哥。,0
我是守墓园子的，,0
你一干餐饮的跟我能有啥联系？,3
难不成你卖人肉包子的？,4
目前的情况是，,0
这些东西不是我们说了算的，,13
我们想要控制那些地方，,0
除非我们做好跟全世界开战的准备。,15
休斯顿火箭队。,0
等你们啊，,8
到了终点后，,0
太无聊，,0
自我锻炼一下，,0
消磨一下时间。,0
昨天他去找过[ch-1]医生么？,3
是。,11
为父已经不年轻了，,13
只有你这么一个儿子，,0
所以，,14
未来是你们的！,2
喂，,1
[ch-0]，,1
您有什么吩咐啊？,3
我和[ch-0]的打法类似，,0
[ch-0]是我的老对手了，,0
在某些方面我比他更了解他自己，,0
我今天就算上场了也顶多比他多坚持一会儿，,14
解决改变不了，,13
还不如保存实力，,15
反正我已经拿到百城真龙战的名额了，,14
对我而言前八和前四没有区别。,13
他没事了。,13
开心吗！,3
看我做什么？,3
[ch-0]小姐，,1
你建议说一说当时的情况吗？,3
还是姓[ch-0]啊？,3
就在这里吧。,5
好，,12
明天见！,5
嗯。,11
在，,0
少爷！,1
欸，,1
话别说的那么难听嘛，,13
你们这样的人，,0
来拳馆不就是来赚钱的吗？,4
迷途的羔羊啊，,2
你有什么样的烦恼？,3
咱们两家的儿女亲事早就订下了，,0
难道您是要反悔。,4
有一天你会笑着讲出曾让你哭到断肠的故事，,0
有一天你会发现曾让你刮目相看的人事不过如此。,0
额，,0
啊啊往前？,3
原来是这样啊，,2
感情是为了他大哥大打出手，,0
哼，,2
真会计较，,2
他大哥做了这么多年上门女婿，,0
连个屁都不敢放，,13
他凭什么有脾气啊？,4
师兄，,1
宗家没有拿你们怎么样吧？,4
喂？,3
[ch-1]。,1
难道不是吗？,4
好。,12
德尔斯孤儿院的地址，,0
在新罗达市北边八十公里内的一处茂密森林内。,0
司机，,1
拜托马上送我去医院。,6
[ch-1]不是平庸之人，,13
他是一条龙，,0
龙之潜渊，,0
出则惊天动地，,0
[ch-0]家对于他的意义，,0
我希望是一种点缀，,14
而不是他身上的光辉，,13
他的未来，,0
是一片星辰大海！,0
喂？,3
他出手的话，,0
应该立刻就会用飞雷神去到砂隐村那边，,10
要继续抓到三尾和七尾的本体不可能了，,13
幸好一尾已经落入手中，,14
[ch-0]失控之前送来了三尾和七尾的部分查克拉,0
小苹果，,1
你留在上面。,7
大神，,1
我们下去！,9
既然这样，,14
我还是要回家跟我爱人商量一下，,15
明天下午你再过来？,3
关于《回头是岸》的专业评测已经有很多了。,0
是的老太爷，,11
伤口我们差不多缝合完毕了，,0
失血情况也控制不住，,13
可这突然的窒息，,14
我们也没办法，,13
老太爷。,1
二十四个小时？,3
那不行，,13
如果喝下药身体出现问题，,14
你跑了我们怎么找你啊？,3
教主，,1
他，,0
他是我丈夫啊.,0
算了算了，,0
我也不要你们赔了，,13
你们估计也是无心的？,3
城里人，,0
做事就是不会体谅人，,13
以后开车小心点。,5
坐下。,7
你去县城买啥？,3
禀皇太子，,1
大清皇家海军一众将领皆系青年俊杰，,0
因战功而白身晋三、四品者比比皆是，,0
实属罕见，,0
今海军又征日大胜，,0
年少高位，,0
既不利于人才作养，,15
亦恐遭物议，,15
奴才恳请押后封赏。,6
只因实力不足。,14
那你认为的陪练是什么呢？,3
不知道,13
请相信我的话，,6
鲲鹏殒落，,0
其盖世宝术若还存于世间，,14
真的只能在那片海域中，,15
我来与你们相谈，,0
绝对有诚意，,0
不会加害。,13
外面有雪，,0
万一耽搁了，,14
爷爷奶奶和外公外婆可就要自己过年了。,0
你刚说啥？,3
在下想要得到，,0
这座画舫中的机缘！,0
[ch-0]，,1
你不是和你丈夫的关系不好，,4
你这样帮我，,0
会不会很为难？,3
怎么了哥？,3
法理之外还不外乎人情，,13
何况[ch-1]这么个孩子。,14
阁主能否体恤他一片赤子孝心，,3
这次的事情就当给了一个教训？,3
行，,12
回头屋里要是缺什么记得跟我说，,5
千万不要客气。,13
摄政王叔叔应该已经听说了吧？,3
呵呵，,1
这是[ch-0]吧！,2
你是[ch-1]的女儿，,0
手上得时刻有些钱。,0
今天的事，,0
爷爷会给你一个交代，,8
具体的，,0
等处理完，,0
你且一旁等着！,7
当然，,14
我们会绝对保密。,15
你们找他有什么事吗？,3
的确挺危险的，,0
而且，,14
那里面的东西可不是人，,13
各个都是魔了，,0
而且，,14
也不一定能说服。,13
那也行。,0
皇子们去不去？,3
应该是，,10
皇上是看着高兴。,0
要是还不去，,14
那她可真是一无是处了。,15
保证完成任务。,8
哼，,1
你既然答应了，,14
从今天开始，,15
[ch-0]将不会对[ch-2]施压，,13
我保证，,8
[ch-2]集团重回正轨，,0
除此之外。,14
哎，,2
他十几天前欠债跑路了。,0
[ch-0]无忧见过鬼祖，,1
不知鬼祖前来寻我何事？,3
护法？,3
喂爸。,1
大王以后定会功盖三皇五帝，,10
理应合称皇帝，,15
因为您是首创，,14
所以该当叫作始皇。,15
哼，,2
吃你的饭吧！,7
没有。,13
我们浣花楼做的是正规生意，,0
怎能与官府背道而驰呢？,4
您说是不是？,3
啊是，,12
[ch-0]，,1
我马上就去办！,9
[ch-1]老师，,1
你为何对僵尸如此了解？,3
你帮我抱上楼吧。,6
好。,12
噢。,2
我是说赤炎训练快结束了，,0
考核你会很忙。,0
报告，,0
那小子在二楼的楼梯口，,0
估计已经上来了，,10
完毕！,0
怎么回事？,3
妈看得出来，,0
你这五年来心底一直有个人，,0
就是这孩子是么？,3
去吧。,5
这个应是不会。,10
你的准备是什么？,3
[ch-1]，,1
你知道[ch-2]吗？,3
老太爷，,1
这。,0
这事可不能叫你嫂子知道。,13
我有很多话想跟倾儿说，,0
[ch-1]先生不必照顾我们，,13
有事尽管去忙。,5
[ch-0]首长过誉了，,0
在您这位老前辈面前，,0
就我那点战绩哪好意思拿出来说？,4
不值一提啊！,13
[ch-0]，,1
第三团什么时候开，,3
我还去！,0
[ch-1]，,1
做什么呢？,3
那位可是[ch-2]的贵客。,0
[ch-0]，,1
这姑娘买那个！,0
你叫什么啊，,3
为什么会在我的身体里？,3
那，,1
能请您将抓到的人交给我们吗？,3
我们一个兄弟被她砸破了脑袋。,0
那个！,1
院长~~,1
老爷子曾与我们说过，,1
这天底下就没有不妒的女子，,13
若真是自己的新妇没有妒意，,14
那是她心里根本没有你。,15
先生在上，,1
请受[ch-0]一拜，,6
我终于找到您了，,0
恩人！,1
哎，,1
假如我爸知道你来了宁城，,14
恐怕你会受到一番苦头啊，,10
你一定要在车站好好等着，,7
回去吧！,7
胖的是你！,2
是没有了。,13
到了，,0
这里就是我获得传承的仙府。,0
你想多了。,0
行了行了，,0
你可以回去了，,7
一个没出嫁的小姑娘，,0
穿的黑不溜秋的，,0
头发毛糙糙的皮肤也这么粗，,0
造的跟三十好几一样。,0
爱要不要！,2
怎么，,3
一向清高的[ch-0]小姐打算牺牲色相重回直播圈？,3
停停停，,7
我们来不是听你炫耀的，,13
你很吵呢。,2
啧，,2
你怕什么啊？,4
侍郎[ch-2]之女？,3
都十八了，,0
有点老了吧？,4
这还用问？,4
[ch-0]他再横，,14
也只不过是跟我们这种普通人横一横，,15
一旦碰上硬茬子那就原形毕露了，,14
[ch-1]家好歹也是二流家族，,14
好歹[ch-1]家的人有一个还是在国外里的有位人物，,14
哎，,2
他[ch-0]一个见不得光的角色，,13
也有实力和人家[ch-1]家硬碰硬啊？,4
你也不怎么样。,13
有你大舅子，,0
还愁他们不出丑？,4
就这些？,3
你想干嘛？,3
呵，,1
哼，,1
需要解释什么？,3
这家伙该不会要下跪求饶吧！,4
既然你觉得他这么差那你还跟他去相亲。,14
我也挺不喜欢他的，,13
特装。,0
[ch-0]姐，,1
你也不能轻易把人看扁了，,13
我觉得很有可能是她那天觉得咱们像骗子，,10
才会那么说的。,15
就这点本事。,14
懒的他，,0
洗个澡都要人给他拎热水。,0
哼。,1
这是去告状了？,3
听这语气，,0
是已经投入你爸爸的怀抱了？,3
他有没有好好疼爱你？,3
全方面的深入疼爱，,0
呵呵呵,0
谁让我是老绝户呢？,3
没什么好看的，,13
读者发来的烦心东西。,0
这和外面那些卖的有什么区别呢？,3
不然你觉得还能是谁？,4
这一拳你就受不了了？,4
无聊。,0
[ch-2]，,1
你记住自己的身份，,7
就算你和我订婚，,14
你也只是[ch-0]家的一个摆件，,15
你不要妄想代替你姐姐。,13
就是就是，,0
这天底下哪有什么药是包治瘫痪的，,4
别逗人笑了。,0
不好意思啊，,13
我不喜欢欠人情，,13
也不喜欢人欠我情，,13
我们不认识。,13
你吃错药了？,3
没什么意思，,13
你是不是觉得自己好不容易遇到一个身份不简单的嫌疑犯，,4
勾起你心底里最强烈的抓捕欲，,0
一定要抓到我，,0
好给身上安一个莫须有的罪名，,0
才觉得开心呢！,4
想吃自己做，,7
别来烦我。,7
别墅？,3
你直接去售楼处那里买不就行了？,4
不是都跟你说了，,4
看不懂吗。,4
能不能活着回来，,3
你比谁都清楚，,0
别告诉我你会有把握啊，,7
哼，,1
那可真是笑死人了啊表姐。,2
都说没有不偷腥的猫，,13
看来这话果然不假。,13
老东西，,1
没进东六域，,13
是不是很后悔呀，,3
啊？,3
[ch-0]？,3
那个蠢货不过是一枚棋子而已，,14
不过是手废了而已，,14
谁叫她那么蠢的，,4
呵我都说得很清楚了，,0
是我的保镖一直对我心存爱慕，,0
所以偷了我的耳环，,15
放在身上，,0
一切都是他做的，,0
我什么都不知道，,13
[ch-1]她能拿我怎么样呢？,4
她那样的人，,0
心比天高，,0
[ch-2]鬼知道呢，,4
不过敢来[ch-0]家老爷子的宴会上闹事，,14
今日怕是他要命丧黄泉喽！,10
半个小时内就想灭了我[ch-0]家，,0
未免，,0
也太小瞧我们了，,0
说大话小心闪着腰啊！,2
你自己看着办吧！,9
啊。,2
能认识才怪！,2
这么怂啊，,2
果然是个废物，,2
和他哥哥是一个鸟样，,0
废物得不行啊，,2
[ch-0]，,1
来，,7
咱们喝酒，,9
别跟这么一个小人物置气，,7
影响咱们兄弟心情。,0
啊。,2
呵呵呵，,1
请问谁给你的自信,4
