text,label,pre_text
[c]额，[c]这。,"[1, 0]",额，这。
[c]好！,[12],好！
[c]我答应！,[0],我答应！
[c][ch-0]现在怎么样了？,[3],ch-0现在怎么样了？
[c]来了，[c]看看这像不像她,"[0, 3]",来了，看看这像不像她
[c]啊，[c]怎么了？,"[2, 3]",啊，怎么了？
[c]不在？,[3],不在？
[c][ch-1]老太爷您明鉴啊。,[6],ch-1老太爷您明鉴啊。
[c]呵呵,[0],呵呵
[c]这件事涉及到的隐秘已经超出了我们的想象，[c]也超出了我们的处理能力之外等吧，[c]等龙帝阁下回归，[c]让龙帝阁下定夺至于我们现在收回一切针对百里青锋的行动，[c]以观察为主，[c]并且传令我们光辉帝国所有部门，[c]以及那些皇室子弟，,"[0, 0, 0, 0, 0, 7, 0]",这件事涉及到的隐秘已经超出了我们的想象，也超出了我们的处理能力之外等吧，等龙帝阁下回归，让龙帝阁下定夺至于我们现在收回一切针对百里青锋的行动，以观察为主，并且传令我们光辉帝国所有部门，以及那些皇室子弟，
[c]他们为了突破自己的剑道，[c]决战生死。,"[0, 0]",他们为了突破自己的剑道，决战生死。
[c]在诗韵九窍玲珑心没有完全觉醒之前，[c]请你保护好诗韵！,"[0, 6]",在诗韵九窍玲珑心没有完全觉醒之前，请你保护好诗韵！
[c]快，[c]马上再派一批人进酒吧会所，[c]重点寻找有没有什么秘道，[c]他一定在我们之前从秘道里跑了。,"[7, 7, 7, 0]",快，马上再派一批人进酒吧会所，重点寻找有没有什么秘道，他一定在我们之前从秘道里跑了。
[c]你不能对我的容貌和身材动心，[c]但可以是我的灵魂、气质、人品。,"[13, 15]",你不能对我的容貌和身材动心，但可以是我的灵魂、气质、人品。
[c]君子曦去了北陵。,[0],君子曦去了北陵。
[c]你以前，[c]是不是很喜欢他？,"[3, 3]",你以前，是不是很喜欢他？
[c]大哥你还没醒吗？,[4],大哥你还没醒吗？
[c]怎么了？,[3],怎么了？
[c][ch-0]，[c]这到底是怎么回事啊？,"[1, 3]",ch-0，这到底是怎么回事啊？
[c]恩！,[12],恩！
[c]县令以捉拿[ch-1]一家为由，[c]加派了人手，[c]在太原府周围设卡，[c][ch-2]二爷受了伤本就走的不快，[c]这样下去恐怕会被追上。,"[0, 0, 0, 0, 10]",县令以捉拿ch-1一家为由，加派了人手，在太原府周围设卡，ch-2二爷受了伤本就走的不快，这样下去恐怕会被追上。
[c]事成之后，[c]我会为你准备好一百个.,"[0, 8]",事成之后，我会为你准备好一百个.
[c]我试试吧。,[9],我试试吧。
[c]你姐来电话了，[c]没挂断，[c]等着你去接。,"[0, 13, 0]",你姐来电话了，没挂断，等着你去接。
[c]不然我就把你送给我那群手下。,[14],不然我就把你送给我那群手下。
[c]本官两袖清风、为官清廉，[c]本县百姓，[c]夜不闭户、路不拾遗，[c]民风淳朴、安居乐业。,"[0, 0, 0, 0]",本官两袖清风、为官清廉，本县百姓，夜不闭户、路不拾遗，民风淳朴、安居乐业。
[c]你说的没错，[c]一个人的气运，[c]有高有低，[c]此时此刻我的气运高歌猛涨，[c]但不代表未来就一定能持续下去，[c]我自己也察觉得到，[c]可能最多持续个几百万个时代，[c]就只剩下亿点点了。,"[13, 0, 0, 0, 13, 0, 0, 15]",你说的没错，一个人的气运，有高有低，此时此刻我的气运高歌猛涨，但不代表未来就一定能持续下去，我自己也察觉得到，可能最多持续个几百万个时代，就只剩下亿点点了。
[c]恩，[c]你能不能多卖一点，[c]我们血库的量不多了，[c]行，[c]行吗？,"[12, 3, 0, 12, 3]",恩，你能不能多卖一点，我们血库的量不多了，行，行吗？
[c]是。,[11],是。
[c]我不去求，[c]你放心。,"[13, 8]",我不去求，你放心。
[c]来人！,[2],来人！
[c]那帝兵呢？,[3],那帝兵呢？
[c]你想拍摄什么？,[3],你想拍摄什么？
[c]年初，[c]两家父亲偶然碰面，[c]我爸提起，[c][ch-0]也欣然同意。,"[0, 0, 0, 0]",年初，两家父亲偶然碰面，我爸提起，ch-0也欣然同意。
[c]哈，[c][ch-0]，[c]您醒啦，[c]再睡一会吧。,"[1, 1, 0, 5]",哈，ch-0，您醒啦，再睡一会吧。
[c]只有在[ch-1]先生身上，[c]我见到过这种气势，[c]因为[ch-1]先生是军人出身，[c]可以问问你是怎么做到的？,"[14, 0, 14, 3]",只有在ch-1先生身上，我见到过这种气势，因为ch-1先生是军人出身，可以问问你是怎么做到的？
[c]他肯定明白自己的心意。,[10],他肯定明白自己的心意。
[c]谢谢，[c]我会考虑，,"[0, 8]",谢谢，我会考虑，
[c]我知道，[c]再见。,"[0, 1]",我知道，再见。
[c]可是要是真的，[c]这种包治瘫痪的药他为啥不拿去申请专利？,"[14, 4]",可是要是真的，这种包治瘫痪的药他为啥不拿去申请专利？
[c]给医院用，[c]专门跑来摆地摊？,"[0, 3]",给医院用，专门跑来摆地摊？
[c]死不了。,[13],死不了。
[c]好吧，[c]你解释。,"[12, 7]",好吧，你解释。
[c]是，[c]保证完成任务！,"[11, 8]",是，保证完成任务！
[c]俺也一样！,[2],俺也一样！
[c]你何时有空闲？,[3],你何时有空闲？
[c]行，[c]你要学[ch-0]姐当然支持你。,"[12, 0]",行，你要学ch-0姐当然支持你。
[c]不过，[c]这么多菜你想做哪样？,"[14, 3]",不过，这么多菜你想做哪样？
[c]我现在把菜谱写下来，[c]让人拍了给你发过去。,"[9, 7]",我现在把菜谱写下来，让人拍了给你发过去。
[c]陛下，[c]臣有一人选！,"[1, 0]",陛下，臣有一人选！
[c]大叔，[c]你不会笑诶，[c]我发现！,"[1, 13, 0]",大叔，你不会笑诶，我发现！
[c]你妈打电话给你，[c]你赶紧去接一下。,"[0, 7]",你妈打电话给你，你赶紧去接一下。
[c]可惜什么，[c]怎么，[c]没被选上，[c]这很正常。,"[3, 3, 13, 0]",可惜什么，怎么，没被选上，这很正常。
[c]我还没想好。,[13],我还没想好。
[c]我不想拍的太简单，[c]也不想应付了事。,"[13, 13]",我不想拍的太简单，也不想应付了事。
[c]可是拍电影能力又不够，[c]我想拍一些有意义的东西。,"[14, 9]",可是拍电影能力又不够，我想拍一些有意义的东西。
[c]假如陪自己去逛庙会的人，[c]是大叔而不是[ch-1]，[c]该多好呀？,"[14, 0, 2]",假如陪自己去逛庙会的人，是大叔而不是ch-1，该多好呀？
[c]你能从滚烫的汤水里把这些食物拿出来吗？,[3],你能从滚烫的汤水里把这些食物拿出来吗？
[c]铁砂掌！,[2],铁砂掌！
[c]师傅那我到时候自己去解释。,[1],师傅那我到时候自己去解释。
[c]哎，[c]是。,"[2, 11]",哎，是。
[c]哈哈，[c]额，[c][ch-0]，[c]您误会了，[c]我不是这个意思，[c]我就说嘛？,"[0, 1, 1, 0, 13, 3]",哈哈，额，ch-0，您误会了，我不是这个意思，我就说嘛？
[c]看你的样子，[c]似乎还没有放弃？,"[0, 3]",看你的样子，似乎还没有放弃？
[c]随你吧，[c]反正我不打算住家里，[c]我决定住校。,"[9, 14, 15]",随你吧，反正我不打算住家里，我决定住校。
[c]木瓜啊,[2],木瓜啊
[c]那不行，[c]区区一场比赛，[c]怎么就能用全力呢？,"[13, 0, 4]",那不行，区区一场比赛，怎么就能用全力呢？
[c]不加。,[13],不加。
[c]你想象一下，[c]应该能够把自己身体之中的那些异常能力提取出来。,"[7, 10]",你想象一下，应该能够把自己身体之中的那些异常能力提取出来。
[c]不行。,[13],不行。
[c]这种事，[c]一刻都不能等。,"[0, 13]",这种事，一刻都不能等。
[c]我没事。,[0],我没事。
[c]来，[c]大黄试试有没有毒？,"[7, 3]",来，大黄试试有没有毒？
[c]哦对了，[c][ch-0]少爷家那位[ch-1]家大哥，[c]您要见一下吗？,"[1, 0, 3]",哦对了，ch-0少爷家那位ch-1家大哥，您要见一下吗？
[c]大连柳树地区一个礼拜停三次水，[c]理由不断翻新，[c]层出不穷,"[0, 0, 0]",大连柳树地区一个礼拜停三次水，理由不断翻新，层出不穷
[c]我明天还要加班么？,[3],我明天还要加班么？
[c]反正我已经没把你当姐姐了。,[13],反正我已经没把你当姐姐了。
[c]剑界,[0],剑界
[c]你啊，[c]差一点把大嫂都瞒过去了！,"[1, 2]",你啊，差一点把大嫂都瞒过去了！
[c]这个题目我可以去完成,[0],这个题目我可以去完成
[c]去哪儿？,[3],去哪儿？
[c]如果说其他人转校可能是为了[ch-1]而来，[c]但是这两人绝对不是。,"[14, 15]",如果说其他人转校可能是为了ch-1而来，但是这两人绝对不是。
[c][ch-0]小姐，[c]你对[ch-1]了解得可没我了解得多。,"[1, 13]",ch-0小姐，你对ch-1了解得可没我了解得多。
[c]别傻乎乎的觉得他是真爱你。,[7],别傻乎乎的觉得他是真爱你。
[c]如果真爱你，[c]怎么可能莫名其妙的消失这么多年？,"[14, 4]",如果真爱你，怎么可能莫名其妙的消失这么多年？
[c]而且，[c]又怎么可能会答应我结婚的这个忙？,"[14, 4]",而且，又怎么可能会答应我结婚的这个忙？
[c]这是公平的对决啊！,[2],这是公平的对决啊！
[c]行了，[c]都已经断绝关系了就别说这些烦心话了，[c]程家人不是东西，[c]我们囡囡才不稀得，[c]以后我们家疼着囡囡就是，[c]不需要旁的人来疼。,"[0, 13, 13, 13, 0, 13]",行了，都已经断绝关系了就别说这些烦心话了，程家人不是东西，我们囡囡才不稀得，以后我们家疼着囡囡就是，不需要旁的人来疼。
[c]闺女，[c]籽儿呢。,"[1, 0]",闺女，籽儿呢。
[c]我们班子连日奔波，[c]有些劳累，[c]这位壮汉若是有什么事，[c]还请告知，[c]也好让我们早点休息。,"[0, 0, 14, 15, 15]",我们班子连日奔波，有些劳累，这位壮汉若是有什么事，还请告知，也好让我们早点休息。
[c]是，[c]一次扣篮，[c]输掉的人穿着[ch-0]在维多利亚的秘密内衣展上的那套同款内衣，[c]在演播室完成一次扣篮。,"[0, 0, 0, 0]",是，一次扣篮，输掉的人穿着ch-0在维多利亚的秘密内衣展上的那套同款内衣，在演播室完成一次扣篮。
[c]但是呢，[c]光是这种内容还是有点少，[c]一些小的方面就没太照顾到。,"[15, 14, 13]",但是呢，光是这种内容还是有点少，一些小的方面就没太照顾到。
[c]那个爸爸，[c]我这一次的第六世，[c]有点与众不同我刚刚出生时，[c]就极为不凡，[c]拥有无限之力，[c]能感知世界波动！,"[0, 0, 0, 0, 0, 2]",那个爸爸，我这一次的第六世，有点与众不同我刚刚出生时，就极为不凡，拥有无限之力，能感知世界波动！
[c]他的神魂倒是不错，[c]可以炼出一条上佳的剑灵！,"[0, 2]",他的神魂倒是不错，可以炼出一条上佳的剑灵！
[c]所以，[c]你来宁城就是为了找她？,"[14, 3]",所以，你来宁城就是为了找她？
[c]急什么呀？,[3],急什么呀？
[c]前天她可是亲口说的不会画图，[c]而且就她的样子肯定也不会画图。,"[13, 13]",前天她可是亲口说的不会画图，而且就她的样子肯定也不会画图。
[c]来这里估计是为了找工作，[c]所以不知道从哪儿找人画的设计图糊弄人的。,"[10, 15]",来这里估计是为了找工作，所以不知道从哪儿找人画的设计图糊弄人的。
[c]赞美暗日，[c]拥抱暗日。,"[0, 0]",赞美暗日，拥抱暗日。
[c]世间一切都将朽化，[c]唯有暗日永存。,"[0, 15]",世间一切都将朽化，唯有暗日永存。
[c][ch-0]，[c]这看来是一场因情而起的绑架案。,"[1, 10]",ch-0，这看来是一场因情而起的绑架案。
[c]呵，[c]擦汗！,"[1, 2]",呵，擦汗！
[c]我知道你们在看着我，[c]所以，[c]多余的问话就不必了！,"[0, 14, 13]",我知道你们在看着我，所以，多余的问话就不必了！
[c]那可能我用心的时候你没看到过。,[10],那可能我用心的时候你没看到过。
[c]不好意思，[c]您还没买单。,"[13, 13]",不好意思，您还没买单。
[c]我儿确实成长了不少，[c]你[ch-3]和那位[ch-0]叔、大郎和你[ch-4]，[c]还有[ch-2]家姐姐和[ch-5]，[c]都是不同的人，[c]我儿却总能找到一些话题让他们都参与进来，[c]不让任何一人觉得难受。,"[0, 0, 0, 0, 0, 13]",我儿确实成长了不少，你ch-3和那位ch-0叔、大郎和你ch-4，还有ch-2家姐姐和ch-5，都是不同的人，我儿却总能找到一些话题让他们都参与进来，不让任何一人觉得难受。
[c]不，[c]我只是发现了现场还有一个高人，[c]他才是真正的强者！,"[13, 14, 2]",不，我只是发现了现场还有一个高人，他才是真正的强者！
[c]不是，[c]本来我也不用来的，[c]是[ch-1]让我来的。,"[13, 13, 0]",不是，本来我也不用来的，是ch-1让我来的。
[c]你们家倒好，[c]嫡女庶女区别却是如此之大，[c]竟是让几个庶女穿的都如此缺少体面，[c]连我这个外人都要看不过去。,"[0, 0, 14, 13]",你们家倒好，嫡女庶女区别却是如此之大，竟是让几个庶女穿的都如此缺少体面，连我这个外人都要看不过去。
[c]看来此人趁你与那童子大战之后灵力有所消耗，[c]捡了个便宜，[c]还将你伤了。,"[0, 0, 0]",看来此人趁你与那童子大战之后灵力有所消耗，捡了个便宜，还将你伤了。
[c]嫂子客气了。,[0],嫂子客气了。
[c]行不更名，[c]坐不改姓，[c][ch-0]。,"[13, 13, 0]",行不更名，坐不改姓，ch-0。
[c]不错，[c]他们确实是你灵族前辈，[c]也是因为那一战，[c]你们灵族才开始走向衰败！,"[12, 0, 14, 2]",不错，他们确实是你灵族前辈，也是因为那一战，你们灵族才开始走向衰败！
[c]我辞职了。,[0],我辞职了。
[c]咳！,[2],咳！
[c][ch-2]，[c]是您打电话给他们的吗？,"[1, 3]",ch-2，是您打电话给他们的吗？
[c]现在，[c][ch-2]的母亲不是回到国企下属的兵工厂担任高层工作了吗？,"[0, 4]",现在，ch-2的母亲不是回到国企下属的兵工厂担任高层工作了吗？
[c]你可以让你父母也一起过去。,[9],你可以让你父母也一起过去。
[c]你父亲是著名企业家，[c]可以担任管理职务，[c]你母亲也是高级知识分子，[c]跟在[ch-2]母亲[ch-0]身边当助理也不是不行。,"[0, 0, 0, 13]",你父亲是著名企业家，可以担任管理职务，你母亲也是高级知识分子，跟在ch-2母亲ch-0身边当助理也不是不行。
[c]而你这边，[c]不也在准备弄兵工厂和,"[14, 4]",而你这边，不也在准备弄兵工厂和
[c]侥幸,[0],侥幸
[c]呵呵，[c]没错，[c]我是要让京城各族都知道，[c]我[ch-0]家有后，[c]所以我亲自到宁城来，[c]但我不希望在别人的眼里，[c]我的孙子只是一个靠着家族权势而走进他们视线的人！,"[1, 0, 0, 0, 15, 15, 2]",呵呵，没错，我是要让京城各族都知道，我ch-0家有后，所以我亲自到宁城来，但我不希望在别人的眼里，我的孙子只是一个靠着家族权势而走进他们视线的人！
[c]还算监考的有点良心，[c]给了我们喘口气的机会。,"[0, 0]",还算监考的有点良心，给了我们喘口气的机会。
[c]星星！,[1],星星！
[c]钠钠，[c]你做什么我都会支持你的。,"[1, 0]",钠钠，你做什么我都会支持你的。
[c]皇上既然留中不发，[c]肯定有他的想法。,"[14, 15]",皇上既然留中不发，肯定有他的想法。
[c]砰！,[0],砰！
[c]砰！,[0],砰！
[c]现在病床紧张，[c]暂时睡这吧。,"[0, 9]",现在病床紧张，暂时睡这吧。
[c]为了[ch-0]的双腿，[c]我就算掏尽家产也在所不惜，[c]何况面子呢。,"[14, 13, 14]",为了ch-0的双腿，我就算掏尽家产也在所不惜，何况面子呢。
[c]少爷你让我们看什么？,[3],少爷你让我们看什么？
[c]强行打开别的世界的大门，[c]将这方天地的邪能引导出去。,"[0, 0]",强行打开别的世界的大门，将这方天地的邪能引导出去。
[c]却不知那[ch-0]会使何计策？,[4],却不知那ch-0会使何计策？
[c]嗯，[c]你文静的很。,"[12, 0]",嗯，你文静的很。
[c]这是[ch-1]的功劳。,[0],这是ch-1的功劳。
[c]我也是成年男性了，[c]有喜欢的女人很奇怪吗。,"[0, 4]",我也是成年男性了，有喜欢的女人很奇怪吗。
[c]我觉得高家庄园就不错！,[0],我觉得高家庄园就不错！
[c]嗯.,[12],嗯.
[c]我都听见了，[c]你小心点，[c]打不过就跑，[c]再想办法。,"[0, 5, 0, 7]",我都听见了，你小心点，打不过就跑，再想办法。
[c][ch-0]？,[3],ch-0？
[c]你出去，[c]我来做。,"[7, 9]",你出去，我来做。
[c]帮我送到膳厅，[c]我去门口看看。,"[6, 9]",帮我送到膳厅，我去门口看看。
[c]对了，[c]飞行员。,"[0, 0]",对了，飞行员。
[c]来了，[c]肯定是炎角的人来了！,"[0, 10]",来了，肯定是炎角的人来了！
[c]是。,[11],是。
[c]怎么了？,[3],怎么了？
[c]是！,[11],是！
[c]睡不着吗？,[3],睡不着吗？
[c]你叫什么名字？,[3],你叫什么名字？
[c]就算这样又如何，[c]天子犯法与庶民同罪，[c]不管他是谁，[c]我都要调查清楚。,"[14, 0, 14, 8]",就算这样又如何，天子犯法与庶民同罪，不管他是谁，我都要调查清楚。
[c]不！,[13],不！
[c]不光是门！,[13],不光是门！
[c]窗户也没有！,[13],窗户也没有！
[c]嘘！,[0],嘘！
[c]这可不是我们该管的事情啊，[c]我们只需要治病救人，[c]知道吧。,"[13, 14, 0]",这可不是我们该管的事情啊，我们只需要治病救人，知道吧。
[c]没有，[c]就是妹妹们一起玩。,"[13, 0]",没有，就是妹妹们一起玩。
[c]砰！,[0],砰！
[c][ch-1]大夫还年轻，[c]和我一样还在学呢，[c]但他家里有一本前人留下的伤寒集，[c]于伤寒一类的病症上很有见解，[c][ch-2]大夫呢，,"[0, 0, 15, 0, 0]",ch-1大夫还年轻，和我一样还在学呢，但他家里有一本前人留下的伤寒集，于伤寒一类的病症上很有见解，ch-2大夫呢，
[c]哼哼哼，[c]额，[c][ch-1]爷，[c]你这是看啥呢？,"[0, 2, 1, 3]",哼哼哼，额，ch-1爷，你这是看啥呢？
[c]都别搁里面缩着了，[c]有什么事啊，[c]不能出来当面说？,"[7, 3, 3]",都别搁里面缩着了，有什么事啊，不能出来当面说？
[c]这枚碧水龙睛丹，[c]是假的。,"[0, 0]",这枚碧水龙睛丹，是假的。
[c]莫不是[ch-1]集团那个美女总裁[ch-2]被你追到手啦？,[4],莫不是ch-1集团那个美女总裁ch-2被你追到手啦？
[c]如果荒古文明的人来了，[c]特别是[ch-0]文明副主来了，[c]你们要通知我一声。,"[14, 14, 15]",如果荒古文明的人来了，特别是ch-0文明副主来了，你们要通知我一声。
[c]渴了。,[0],渴了。
[c]但我们基数多，[c]有无限可能。,"[15, 0]",但我们基数多，有无限可能。
[c]我怎么能这个样子呢。,[4],我怎么能这个样子呢。
[c]让他进来吧！,[7],让他进来吧！
[c]对了[ch-1]，[c]我记得集团的后勤部缺个保洁员的工作，[c]你现在带他去集团办理一下入职手续，[c]刚好那里有[ch-0]宿舍，[c]直接住宿舍吧！,"[12, 0, 7, 0, 9]",对了ch-1，我记得集团的后勤部缺个保洁员的工作，你现在带他去集团办理一下入职手续，刚好那里有ch-0宿舍，直接住宿舍吧！
[c]现在整个后宫的人都恨不得她死。,[0],现在整个后宫的人都恨不得她死。
[c]依照德妃的妒忌心，[c]还有淑妃的手段，[c]她那边绝对不会好过。,"[14, 0, 13]",依照德妃的妒忌心，还有淑妃的手段，她那边绝对不会好过。
[c][ch-1]，[c]你是哪儿的人啊？,"[1, 3]",ch-1，你是哪儿的人啊？
[c]那又是何物？,[3],那又是何物？
[c]我不磕。,[13],我不磕。
[c]魔甲龟数量稀少，[c]运输麻烦，[c]很少会出现在城邦赛会，[c]但每一次出现，[c]面对它的队伍必败无疑。,"[0, 0, 13, 15, 0]",魔甲龟数量稀少，运输麻烦，很少会出现在城邦赛会，但每一次出现，面对它的队伍必败无疑。
[c]一会儿的魔兽战，[c]要在十分钟内战胜魔兽，[c]否则就算失败。,"[0, 0, 13]",一会儿的魔兽战，要在十分钟内战胜魔兽，否则就算失败。
[c]魔甲龟本身力大无穷，[c]防御极强，[c]又会水系魔法，[c]唯一的缺点是在陆地上行动缓慢，[c]可一旦缩进龟壳，[c]黑铁,"[0, 0, 0, 0, 14, 0]",魔甲龟本身力大无穷，防御极强，又会水系魔法，唯一的缺点是在陆地上行动缓慢，可一旦缩进龟壳，黑铁
[c]有车吗？,[3],有车吗？
[c]肯定是他下的暗手。,[10],肯定是他下的暗手。
[c][ch-0]妹妹呀，[c]记住，[c]像我们这种身份的可不是谁都能结交的，[c]你贵为庄少爷的人，[c]就该清楚自己的身份，[c]一些没出息的同学，[c]断了联系对自己有好处，[c]免得受牵连！,"[1, 7, 13, 0, 15, 0, 0, 2]",ch-0妹妹呀，记住，像我们这种身份的可不是谁都能结交的，你贵为庄少爷的人，就该清楚自己的身份，一些没出息的同学，断了联系对自己有好处，免得受牵连！
[c]你家那位三流庄家的少爷呢？,[3],你家那位三流庄家的少爷呢？
[c]躲猫猫好玩吗？,[3],躲猫猫好玩吗？
[c]是！,[11],是！
[c]若是这周天洪荒星辰，[c]每一颗星辰上的星君都是我人族的英雄好汉，[c]让我人族巫神取代那些星神掌控周天，[c]我人族当能成为盘古世界的主人神挡杀神，[c]鬼挡杀鬼，[c]就算是圣,"[14, 0, 0, 15, 0, 15]",若是这周天洪荒星辰，每一颗星辰上的星君都是我人族的英雄好汉，让我人族巫神取代那些星神掌控周天，我人族当能成为盘古世界的主人神挡杀神，鬼挡杀鬼，就算是圣
[c]啊，[c][ch-0]先生说，[c]把这个[ch-1]放了，[c]立刻马上。,"[2, 0, 0, 0]",啊，ch-0先生说，把这个ch-1放了，立刻马上。
[c]那叫[ch-0]，[c][ch-0]殿下吧。,"[0, 9]",那叫ch-0，ch-0殿下吧。
[c]我找总裁，[c]好像跟你没什么关系啊，[c]另外，[c]我也不是你们集团的人，[c]不管是诸于什么方面，[c]你都没有资格管我！,"[0, 13, 14, 13, 13, 13]",我找总裁，好像跟你没什么关系啊，另外，我也不是你们集团的人，不管是诸于什么方面，你都没有资格管我！
[c]听说是随机抽签，[c]结果好苗子都抽到后面去了。,"[0, 0]",听说是随机抽签，结果好苗子都抽到后面去了。
[c]绅士不应该主动上去结盟吗。,[4],绅士不应该主动上去结盟吗。
[c]看样子有点严重，[c]不过他脑子里没淤血，[c]大问题不会有，[c]其实现在这样算好的，[c]你看电梯里另一个病人到现在都没醒，[c]听说有可能成为植物人。,"[0, 14, 13, 14, 0, 0]",看样子有点严重，不过他脑子里没淤血，大问题不会有，其实现在这样算好的，你看电梯里另一个病人到现在都没醒，听说有可能成为植物人。
[c]老爷，[c]六夫人。,"[1, 1]",老爷，六夫人。
[c]是，[c][ch-1]！,"[11, 1]",是，ch-1！
[c]灵谷开了，[c]你们听到消息了吗？,"[0, 3]",灵谷开了，你们听到消息了吗？
[c]这也是很多小手机厂商以小博大、蹭热度的惯用手法。,[0],这也是很多小手机厂商以小博大、蹭热度的惯用手法。
[c]这个我们都可以作证，[c]你小时候跟他一样，[c]只不过现在喂的奶，[c]你吃的是鸡蛋羹。,"[0, 0, 14, 0]",这个我们都可以作证，你小时候跟他一样，只不过现在喂的奶，你吃的是鸡蛋羹。
[c]我们弹古筝去吧。,[9],我们弹古筝去吧。
[c]这世上有很多我不明白的事情,[0],这世上有很多我不明白的事情
[c]也是。,[0],也是。
[c]你们没试过？,[3],你们没试过？
[c]怎么知道是假药呢？,[3],怎么知道是假药呢？
[c]那你要赌什么？,[3],那你要赌什么？
[c]明天去[ch-0]上班吧。,[9],明天去ch-0上班吧。
[c]一头龙。,[0],一头龙。
[c]我喜欢珠宝，[c]也喜欢鉴定工作。,"[0, 0]",我喜欢珠宝，也喜欢鉴定工作。
[c][ch-0]老爷子，[c]我可以帮你！,"[1, 0]",ch-0老爷子，我可以帮你！
[c]好！,[12],好！
[c]不用为我们做无畏的牺牲，[c]你们快走。,"[7, 7]",不用为我们做无畏的牺牲，你们快走。
[c]这球应该传给空位,[0],这球应该传给空位
[c]是。,[11],是。
[c]行。,[12],行。
[c]老二、嫣然，[c]你们进来！,"[1, 7]",老二、嫣然，你们进来！
[c]现在，[c]你可以说出这首曲子的主人了吗？,"[0, 3]",现在，你可以说出这首曲子的主人了吗？
[c]呃，[c]那你谢也谢了我就先走咯,"[12, 9]",呃，那你谢也谢了我就先走咯
[c]如果我们真死了，[c]不要为我们报仇。,"[14, 13]",如果我们真死了，不要为我们报仇。
[c]你们要保证我两个女儿和家人，[c]一辈子平平安安。,"[5, 0]",你们要保证我两个女儿和家人，一辈子平平安安。
[c]诶谁啊谁啊？,[4],诶谁啊谁啊？
[c]嗯嘿嘿，[c]王爷，[c]您就放一百个心吧！,"[12, 1, 8]",嗯嘿嘿，王爷，您就放一百个心吧！
[c]好霸道啊，[c]不不愧是华美集团的[ch-0]董事长，[c]和传闻中的一一模一样。,"[2, 13, 0]",好霸道啊，不不愧是华美集团的ch-0董事长，和传闻中的一一模一样。
[c]多谢指挥使大人指点，[c]小的也是知道该如何操弄的，[c]明天就派人去附近州县散播消息，[c]就说少华山寨不再劫掠了，[c]只收少许买路钱，[c]只要有几人走通了路，[c]便好说了。,"[0, 0, 0, 14, 15, 14, 15]",多谢指挥使大人指点，小的也是知道该如何操弄的，明天就派人去附近州县散播消息，就说少华山寨不再劫掠了，只收少许买路钱，只要有几人走通了路，便好说了。
